sample	good	bad	good_ids
SRS011061	4	19	487175.102, 46503.2132, 165186.2228, 1263037.131
SRS011134	3	48	2292941.88, 1262833.114, 1262829.114
SRS011239	8	23	487175.103, 512294.31, 28118.1803, 1262904.273, 1637505.71, 1262969.103, 28117.3309, 328812.148
SRS011271	4	32	28118.1806, 821.4126, 2292365.200, 162156.333
SRS011302	2	25	1263052.62, 821.4127
SRS011405	3	14	820.5188, 28111.460, 471870.112
SRS011452	1	6	357276.1137
SRS011529	6	20	1263103.66, 159272.1002, 820.5190, 762982.86, 46506.1904, 165179.2646
SRS011586	6	23	387661.139, 1073388.40, 820.5191, 239935.2387, 59620.2460, 1203608.33
SRS012273	8	39	46506.1908, 471870.113, 1262708.32, 1946508.2426, 820.5195, 656399.17, 1262804.251, 28117.3313
SRS012849	6	28	1872444.1062, 1262738.324, 162156.334, 762982.87, 1262930.163, 2518605.15
SRS012902	5	2	821.4119, 1339287.17, 491921.39, 1262914.827, 28116.1508
SRS012969	8	30	28118.1809, 821.4129, 46503.2139, 162156.336, 2292365.201, 165179.2650, 165185.474, 818.1491
SRS013158	9	4	820.5187, 46506.1903, 821.4121, 1263111.170, 817.1771, 371601.715, 114712.62, 1262684.309, 823.3537
SRS013215	4	2	357276.1138, 1339287.18, 818.1488, 1872444.1058
SRS013476	6	32	1262969.104, 742817.148, 40518.2729, 1637505.74, 28118.1808, 165186.2231
SRS013521	7	12	1262738.325, 2292941.87, 1981025.51, 762982.88, 2518605.16, 46503.2137, 821.4128
SRS013687	6	23	239935.2388, 46503.2147, 1262924.312, 218538.1107, 454154.724, 165179.2652
SRS013800	6	18	46503.2143, 1268240.93, 1263095.64, 820.5204, 291644.183, 1263043.52
SRS013951	2	21	1897017.225, 59823.1248
SRS014235	11	25	46503.2148, 823.3547, 46506.1911, 1941478.53, 820.5209, 1268240.94, 40518.2733, 47678.1046, 338188.237, 1262969.107, 162156.340
SRS014287	8	13	46503.2140, 823.3543, 821.4132, 674529.234, 1268240.91, 820.5199, 47678.1044, 556259.26
SRS014313	6	6	1872444.1067, 1263037.136, 823.3542, 820.5198, 821.4131, 328814.983
SRS014459	9	22	470145.66, 821.4141, 46506.1914, 218538.1109, 1268240.96, 820.5213, 28118.1815, 823.3549, 162156.343
SRS014613	10	13	487175.104, 46503.2145, 1941478.52, 357276.1144, 2585756.49, 1472416.82, 818.1493, 1263037.138, 469590.104, 1339279.12
SRS014683	6	10	2584626.6, 820.5200, 2292941.89, 28111.461, 28118.1811, 821.4133
SRS014923	4	34	2173.821, 820.5210, 46506.1913, 433323.6
SRS014979	4	29	1262969.105, 1638786.240, 1929996.36, 1262797.242
SRS015065	7	27	821.4139, 470145.65, 46503.2150, 218538.1108, 46506.1912, 823.3548, 1262759.10
SRS015133	10	23	46503.2149, 162156.341, 1872444.1073, 592028.539, 454154.725, 674529.236, 239935.2389, 1073387.38, 1946247.217, 1897010.69
SRS015190	7	10	821.4134, 823.3544, 817.1772, 1637509.84, 28116.1517, 1268240.92, 114712.65
SRS015217	7	28	821.4140, 1121098.195, 820.5212, 512294.32, 1122957.149, 818.1495, 1550024.456
SRS015264	1	19	28117.3321
SRS015369	3	7	1203554.127, 821.4135, 823.3545
SRS015431	0	0	
SRS015578	7	20	487175.106, 1339291.10, 818.1496, 592028.541, 821.4142, 28116.1525, 154288.100
SRS015663	18	25	28118.1820, 1262738.329, 218538.1110, 46503.2155, 1262768.85, 1263043.54, 239935.2390, 29523.191, 46506.1919, 1262815.186, 159272.1008, 2291998.18, 1262795.286, 40518.2738, 823.3555, 821.4147, 310297.1038, 28117.3328
SRS015782	9	34	59823.1249, 742823.211, 1262969.108, 1262914.830, 165179.2653, 29523.190, 1263095.65, 1262813.131, 1946508.2437
