sample	good	bad	good_ids
ERR1912949	1	7	1929996.27
ERR1912950	1	7	1929996.29
ERR1912951	1	5	1929996.26
ERR1912952	1	5	1929996.28
ERR1912953	0	8	
ERR1912954	0	8	
ERR1912955	0	8	
ERR1912956	1	7	239935.2377
ERR1912958	0	17	
ERR1912959	0	0	
ERR1912960	1	17	41200.112
ERR1912964	1	9	1262821.26
ERR1912965	0	17	
ERR1912966	1	11	1262821.28
ERR1912967	1	12	239935.2380
ERR1912968	1	12	59620.2439
ERR1912969	2	12	2173.819, 239935.2381
ERR1912970	1	12	1262793.522
ERR1912972	0	5	
ERR1912973	0	5	
ERR1912974	0	6	
ERR1912975	0	5	
ERR1912976	0	8	
ERR1912977	0	11	
ERR1912978	0	9	
ERR1912983	0	7	
ERR1912984	0	10	
ERR1912985	0	9	
ERR1912986	0	11	
ERR1912994	0	8	
ERR1912995	0	12	
ERR1912997	2	28	1262969.102, 1896972.32
ERR1912998	0	6	
ERR1912999	0	6	
ERR1913000	0	6	
ERR1913001	0	6	
ERR1913010	0	7	
ERR1913011	0	7	
ERR1913012	1	6	239935.2385
ERR1913013	0	7	
ERR1913017	0	6	
ERR1913018	0	7	
ERR1913019	0	6	
ERR1913020	0	6	
ERR1913021	0	5	
ERR1913022	0	6	
ERR1913023	0	5	
ERR1913024	0	4	
ERR1913032	0	5	
ERR1913038	0	18	
ERR1913039	0	0	
ERR1913047	0	8	
ERR1913048	0	12	
ERR1913049	0	10	
ERR1913050	1	7	41978.1025
ERR1913051	0	8	
ERR1913052	7	13	1946508.2468, 41978.1024, 40518.2762, 1897004.284, 59620.2551, 1262969.125, 165186.2270
ERR1913053	4	14	1262882.605, 40518.2766, 41978.1027, 1897004.287
ERR1913057	2	13	239935.2405, 28117.3395
ERR1913058	4	21	239935.2410, 1946278.203, 28117.3396, 2302962.47
ERR1913059	2	23	239935.2411, 1946278.204
ERR1913064	7	17	1896967.59, 41200.121, 483214.20, 1262821.30, 1262848.67, 1262897.601, 40518.2768
