sample	good	bad	good_ids
SRS011061	4	19	487175.92, 46503.2092, 165186.2207, 1263037.118
SRS011134	3	48	2292941.82, 1262833.113, 1262829.113
SRS011239	8	22	487175.93, 512294.29, 28118.1777, 1262904.270, 1637505.64, 1262969.92, 28117.3278, 328812.147
SRS011271	4	32	28118.1778, 821.4063, 2292365.197, 162156.318
SRS011302	2	25	1263052.61, 821.4067
SRS011405	3	14	820.5120, 28111.457, 471870.109
SRS011452	1	6	357276.1116
SRS011529	6	20	1263103.65, 159272.983, 820.5122, 762982.83, 46506.1877, 165179.2633
SRS011586	6	23	387661.136, 1073388.39, 820.5124, 239935.2370, 59620.2401, 1203608.29
SRS012273	8	39	46506.1880, 471870.110, 1262708.30, 1946508.2405, 820.5125, 656399.16, 1262804.245, 28117.3282
SRS012849	6	28	1872444.1017, 1262738.313, 162156.321, 762982.84, 1262930.162, 2518605.12
SRS012902	5	2	821.4068, 1339287.15, 491921.38, 1262914.818, 28116.1477
SRS012969	8	30	28118.1781, 821.4070, 46503.2098, 162156.320, 2292365.198, 165179.2634, 165185.463, 818.1461
SRS013158	9	4	820.5123, 46506.1878, 821.4069, 1263111.168, 817.1763, 371601.693, 114712.52, 1262684.306, 823.3515
SRS013215	4	2	357276.1117, 1339287.16, 818.1460, 1872444.1014
SRS013476	6	32	1262969.93, 742817.146, 40518.2713, 1637505.67, 28118.1785, 165186.2211
SRS013521	7	12	1262738.314, 2292941.83, 1981025.50, 762982.85, 2518605.13, 46503.2099, 821.4073
SRS013687	5	21	239935.2371, 46503.2104, 218538.1098, 454154.719, 165179.2637
SRS013800	6	18	46503.2102, 1268240.78, 1263095.62, 820.5131, 291644.178, 1263043.48
SRS013951	2	21	1897017.218, 59823.1244
SRS014235	10	23	46503.2105, 823.3519, 46506.1882, 820.5134, 1268240.81, 40518.2715, 47678.1034, 338188.228, 1262969.95, 162156.322
SRS014287	8	13	46503.2100, 823.3518, 821.4074, 674529.225, 1268240.77, 820.5129, 47678.1033, 556259.25
SRS014313	6	6	1872444.1018, 1263037.121, 823.3517, 820.5128, 821.4072, 328814.971
SRS014459	6	22	470145.62, 218538.1099, 1268240.80, 28118.1786, 823.3520, 162156.323
SRS014613	9	12	487175.96, 46503.2106, 1941478.50, 2585756.42, 1472416.77, 818.1464, 1263037.124, 469590.99, 1339279.11
SRS014683	4	8	820.5136, 2292941.85, 28118.1787, 821.4077
SRS014923	3	31	820.5139, 46506.1885, 433323.5
SRS014979	4	25	1262969.96, 1638786.239, 1929996.22, 1262797.233
SRS015065	7	23	821.4082, 470145.63, 46503.2111, 218538.1100, 46506.1886, 823.3524, 1262759.9
SRS015133	10	23	46503.2110, 162156.325, 1872444.1026, 592028.530, 454154.720, 674529.228, 239935.2372, 1073387.37, 1946247.210, 1897010.67
SRS015190	7	10	821.4078, 823.3521, 817.1765, 1637509.80, 28116.1486, 1268240.82, 114712.55
SRS015217	7	22	821.4081, 1121098.194, 820.5141, 512294.30, 1122957.143, 818.1465, 1550024.452
SRS015264	1	16	28117.3292
SRS015369	3	7	1203554.125, 821.4079, 823.3522
SRS015431	0	0	
SRS015578	6	16	487175.97, 1339291.9, 818.1468, 592028.531, 28116.1493, 154288.99
SRS015663	11	21	28118.1794, 1262738.318, 46503.2117, 1262768.83, 1263043.49, 239935.2373, 29523.189, 46506.1892, 159272.986, 2291998.17, 310297.1029
SRS015782	8	31	59823.1245, 742823.208, 1262969.97, 165179.2638, 29523.188, 1263095.63, 1262813.129, 1946508.2416
SRS015854	5	13	821.4083, 46506.1887, 820.5143, 214856.2220, 1946508.2413
SRS015890	7	11	329854.420, 820.5145, 823.3525, 357276.1126, 28118.1789, 28117.3294, 165185.467
SRS015960	4	15	46506.1888, 820.5144, 40518.2719, 821.4084
SRS016018	6	16	1637509.81, 1929996.24, 1472416.79, 487174.267, 28117.3297, 28118.1792
SRS016056	8	1	823.3526, 1637511.660, 46503.2112, 28118.1790, 820.5147, 46506.1889, 821.4085, 162156.327
SRS016095	4	28	40545.1278, 1896972.30, 1203608.32, 820.5150
SRS016203	1	11	46503.2116
SRS016335	0	11	
SRS016438	5	4	46503.2115, 28117.3295, 1262697.285, 821.4088, 46506.1891
SRS016495	0	15	
SRS016517	0	12	
SRS016753	1	6	821.4091
SRS016954	5	19	1637511.661, 28118.1795, 1099853.162, 1262784.179, 59620.2422
SRS016989	2	8	329854.423, 162156.329
SRS017103	4	31	41200.109, 1896967.51, 28118.1799, 2293117.56
SRS017191	3	15	28118.1796, 823.3530, 28117.3299
SRS017307	4	22	1203554.126, 1262973.35, 1262834.34, 159272.987
SRS017433	8	6	310297.1030, 28118.1797, 46503.2118, 821.4098, 162156.330, 817.1766, 1263037.127, 674529.231
SRS017521	4	25	656400.10, 1637509.82, 821.4099, 1929996.25
SRS017701	5	8	823.3531, 46503.2119, 1268240.87, 291644.179, 1263054.10
SRS017821	3	24	1896971.20, 2292941.86, 454154.723
SRS017859	5	6	1872444.1038, 46506.1896, 820.5162, 821.4101, 329854.425
SRS017916	0	2	
SRS018049	2	3	214856.2224, 46503.2122
SRS018133	6	10	162156.331, 357276.1130, 1262738.322, 487175.99, 28118.1800, 1263037.128
SRS018313	5	7	823.3532, 1339314.31, 1897051.152, 1872444.1036, 28116.1500
SRS018351	11	16	2033407.283, 820.5166, 1896968.59, 1262697.291, 218538.1103, 821.4103, 2585118.27, 1872444.1042, 1924106.50, 1262807.144, 818.1478
SRS018427	3	18	821.4102, 1268240.88, 218538.1102
SRS018575	4	8	46503.2123, 487175.98, 823.3533, 357276.1129
SRS018656	2	11	218538.1101, 2584617.5
SRS018984	9	17	28118.1801, 357276.1131, 820.5165, 329854.426, 28117.3304, 286133.193, 328814.978, 817.1768, 360807.1180
