sample	good	bad	good_ids
ERR1912996	0	1	
ERR1913037	1	9	1896967.50
ERR1913039	2	7	1896967.49, 259315.146
ERR1913047	0	3	
ERR1913058	4	5	28117.3274, 538949.143, 239935.2333, 1946300.31
ERR1913059	3	6	239935.2332, 538949.142, 28117.3273
ERR1913070	6	11	159272.916, 28117.3272, 821.4049, 1262708.29, 1262933.44, 908612.115
ERR1913072	7	2	908612.114, 1946295.69, 1262708.28, 159272.915, 28117.3271, 1262901.24, 59620.2377
ERR1913073	6	6	1313.35608, 28117.3270, 592028.522, 310298.430, 40518.2701, 1203611.35
ERR1913074	5	9	592028.521, 310298.429, 1313.35607, 28117.3269, 1203611.34
ERR1913075	8	8	1313.35606, 592028.520, 310298.428, 28117.3268, 1203611.33, 1263079.1013, 40518.2699, 1150298.2430
ERR1913080	6	5	1680.2054, 1262924.307, 1262684.305, 820.5105, 301302.2264, 1872444.697
ERR1913083	5	7	1680.2053, 1262924.306, 40518.2697, 1872444.696, 820.5104
ERR1913088	4	15	905011.30, 1929996.20, 820.5103, 28117.3267
ERR1913089	1	15	1929996.19
ERR1913091	0	10	
ERR1913092	6	9	33043.1606, 165179.2623, 1897003.1300, 59620.2376, 159272.910, 278064.98
ERR1913093	2	2	33043.1605, 1897003.1299
ERR1913094	1	3	33043.1604
ERR1913095	2	2	1897003.1297, 165179.2620
ERR1913096	1	1	357276.1107
ERR1913097	2	0	357276.1106, 371601.683
ERR1913098	1	1	357276.1105
ERR1913099	2	0	357276.1104, 371601.681
ERR1913104	9	4	820.5100, 823.3504, 1896972.27, 1263043.46, 162156.297, 357276.1103, 1897004.259, 384639.22, 166486.956
ERR1913105	6	5	820.5099, 1896972.26, 823.3503, 1263043.45, 357276.1102, 162156.296
ERR1913106	6	5	823.3502, 820.5098, 1263043.44, 1896972.25, 162156.295, 357276.1101
ERR1913107	6	5	820.5097, 823.3501, 1263043.43, 357276.1100, 1896972.24, 162156.294
ERR1913119	8	7	1897004.255, 1262913.130, 1262924.305, 1896971.19, 1969565.14, 218538.1091, 40518.2691, 371601.680
ERR1913120	7	12	1897004.254, 1262913.129, 218538.1090, 1896971.18, 1262924.304, 40518.2690, 1262775.785
ERR1913121	8	10	1262913.128, 1897004.253, 1896971.17, 40518.2689, 1262775.784, 1262924.303, 1969565.12, 371601.678
ERR1913122	0	7	
ERR1913123	3	2	820.5095, 41978.716, 2292909.78
ERR1913124	3	2	41978.715, 2292909.77, 820.5094
ERR1913125	3	6	41978.714, 820.5093, 821.4036
ERR1913127	16	3	239935.2331, 742823.206, 1262915.427, 821.4035, 820.5092, 1262884.702, 329854.417, 1262684.303, 259315.144, 823.3500, 1263080.302, 1262845.75, 291644.174, 28117.3263, 1211813.98, 47678.1028
