sample	good	bad	type
ERR1912996	0	1	parkinsons
ERR1913037	1	9	parkinsons
ERR1913039	2	7	parkinsons
ERR1913047	0	3	parkinsons
ERR1913058	4	5	parkinsons
ERR1913059	3	6	parkinsons
ERR1913070	6	11	parkinsons
ERR1913072	7	2	parkinsons
ERR1913073	6	6	parkinsons
ERR1913074	5	9	parkinsons
ERR1913075	8	8	parkinsons
ERR1913080	6	5	parkinsons
ERR1913083	5	7	parkinsons
ERR1913088	4	15	parkinsons
ERR1913089	1	15	parkinsons
ERR1913091	0	10	parkinsons
ERR1913092	6	9	parkinsons
ERR1913093	2	2	parkinsons
ERR1913094	1	3	parkinsons
ERR1913095	2	2	parkinsons
ERR1913096	1	1	parkinsons
ERR1913097	2	0	parkinsons
ERR1913098	1	1	parkinsons
ERR1913099	2	0	parkinsons
ERR1913104	9	4	parkinsons
ERR1913105	6	5	parkinsons
ERR1913106	6	5	parkinsons
ERR1913107	6	5	parkinsons
ERR1913119	8	7	parkinsons
ERR1913120	7	12	parkinsons
ERR1913121	8	10	parkinsons
ERR1913122	0	7	parkinsons
ERR1913123	3	2	parkinsons
ERR1913124	3	2	parkinsons
ERR1913125	3	6	parkinsons
ERR1913127	16	3	parkinsons
SRX024053	19	16	healthy
SRS048654	13	13	healthy
SRS065176	10	6	healthy
SRS140492	26	11	healthy
SRS140645	3	2	healthy
SRS012849	18	15	healthy
SRS012969	8	30	healthy
SRS015431	41	42	healthy
SRS015890	16	8	healthy
SRS016438	6	5	healthy
SRS017859	9	2	healthy
SRS018049	4	1	healthy
SRS018984	15	11	healthy
SRS020394	15	11	healthy
SRS020622	7	3	healthy
SRS021153	3	4	healthy
SRS021219	5	10	healthy
SRS023715	18	10	healthy
SRS024492	14	7	healthy
SRS024663	8	8	healthy
SRS042966	5	15	healthy
SRS043667	9	4	healthy
SRS045739	11	5	healthy
SRS045936	0	17	healthy
SRS046369	11	9	healthy
SRS048981	7	5	healthy
SRS049402	16	5	healthy
SRS052078	4	3	healthy
SRS054869	10	6	healthy
SRS077731	8	7	healthy
SRS062701	13	4	healthy
SRS063190	14	6	healthy
SRS064662	6	8	healthy
SRS075021	11	4	healthy
SRS145308	2	5	healthy
SRS050026	11	5	healthy
SRS015369	5	5	healthy
SRS017916	0	2	healthy
SRS054352	18	12	healthy
SRS053356	11	18	healthy
SRS053573	6	3	healthy
SRS053649	13	13	healthy
SRS055533	8	0	healthy
SRS056273	17	11	healthy
SRS058070	16	13	healthy
SRS063489	7	3	healthy
SRS064973	4	4	healthy
SRS074670	9	3	healthy
SRS074964	9	4	healthy
SRS075078	17	12	healthy
SRS075341	2	25	healthy
SRS077849	17	12	healthy
SRS078242	4	24	healthy
SRS078419	20	23	healthy
SRS078665	9	7	healthy
SRS100021	10	7	healthy
SRS101376	6	17	healthy
SRS101433	15	7	healthy
SRS140513	15	4	healthy
SRS052697	9	30	healthy
SRS053214	14	4	healthy
SRS056259	16	8	healthy
SRS058770	15	7	healthy
SRS062427	8	3	healthy
SRS063985	8	17	healthy
SRS011239	16	15	healthy
SRS013215	5	1	healthy
SRS013476	16	22	healthy
SRS014459	6	25	healthy
SRS015065	20	14	healthy
SRS015854	15	9	healthy
SRS016203	9	7	healthy
SRS016335	24	16	healthy
SRS017307	14	16	healthy
SRS017701	11	10	healthy
SRS018656	6	7	healthy
SRS019161	21	17	healthy
SRS019968	10	10	healthy
SRS020233	27	22	healthy
SRS020328	23	18	healthy
SRS022609	16	31	healthy
SRS023583	6	11	healthy
SRS024265	6	12	healthy
SRS047044	11	10	healthy
SRS011405	11	6	healthy
SRS011529	12	14	healthy
SRS011586	14	15	healthy
SRS012902	6	1	healthy
SRS014923	20	18	healthy
SRS015190	11	6	healthy
SRS015217	22	13	healthy
SRS015578	20	7	healthy
SRS015663	31	12	healthy
SRS016056	7	5	healthy
SRS016989	8	9	healthy
SRS017191	13	5	healthy
SRS017433	18	6	healthy
SRS018351	21	6	healthy
SRS018427	14	7	healthy
SRS019582	17	16	healthy
SRS019601	13	12	healthy
SRS022071	22	16	healthy
SRS022137	13	7	healthy
SRS024009	12	5	healthy
SRS024132	26	22	healthy
SRS024549	3	5	healthy
SRS024625	13	9	healthy
SRS043001	8	5	healthy
SRS045004	15	11	healthy
SRS045713	9	12	healthy
SRS050422	10	21	healthy
SRS050925	19	11	healthy
SRS051031	8	32	healthy
SRS055982	13	7	healthy
SRS014979	13	20	healthy
SRS015264	10	10	healthy
SRS015782	25	18	healthy
SRS015960	15	10	healthy
SRS016495	9	6	healthy
SRS016517	8	8	healthy
SRS017103	18	17	healthy
SRS018313	11	1	healthy
SRS018575	10	2	healthy
SRS019267	10	5	healthy
SRS019787	6	7	healthy
SRS019910	5	9	healthy
SRS020869	18	18	healthy
SRS021484	17	16	healthy
SRS023526	18	12	healthy
SRS023971	8	3	healthy
SRS024331	16	17	healthy
SRS024435	22	24	healthy
SRS048870	12	16	healthy
SRS049900	5	4	healthy
SRS049959	21	27	healthy
SRS049995	18	21	healthy
SRS050299	7	8	healthy
SRS050752	15	12	healthy
SRS052027	14	7	healthy
SRS054956	10	6	healthy
SRS057717	5	2	healthy
SRS058723	9	3	healthy
SRS064557	6	7	healthy
SRS064645	7	1	healthy
SRS065504	6	24	healthy
SRS012273	23	24	healthy
SRS013158	10	3	healthy
SRS013521	10	9	healthy
SRS013800	14	10	healthy
SRS013951	15	8	healthy
SRS014313	12	0	healthy
SRS014613	16	7	healthy
SRS011134	3	48	healthy
SRS011452	3	4	healthy
SRS011302	6	21	healthy
SRS015133	16	17	healthy
SRS016018	14	10	healthy
SRS016095	12	20	healthy
SRS016753	5	9	healthy
SRS016954	16	8	healthy
SRS017521	20	9	healthy
SRS017821	8	18	healthy
SRS018133	7	9	healthy
SRS019030	10	12	healthy
SRS019685	12	17	healthy
SRS022713	7	2	healthy
SRS023829	7	0	healthy
SRS024388	5	9	healthy
SRS042628	12	15	healthy
SRS047014	17	16	healthy
SRS048164	20	10	healthy
SRS049712	13	11	healthy
SRS051882	10	9	healthy
SRS053335	15	5	healthy
SRS054590	7	2	healthy
SRS063040	15	12	healthy
SRS077730	11	6	healthy
SRS078176	17	11	healthy
SRS011061	8	14	healthy
SRS011271	19	17	healthy
SRS013687	13	16	healthy
SRS014235	18	18	healthy
SRS014287	16	5	healthy
SRS014683	13	3	healthy
